category,description,len
"Authors, Canadian",B'eros' b'eu' b'a' b'a' b'a'.,29
"Authors, American",B'amet' b'ad'.,14
Adventure fiction,B'quam' b'eu'.,14
Political fiction,B'quam' b'mi' b'a' b'a' b'pede'.,32
Adventure stories,B'diam' b'in' b'et' b'a' b'a' b'commodo' b'a' b've' b'et'.,58
Boats and boating,B'nibh' b'in' b'eu'.,20
African Americans,B'quam' b'eu' b'a' b'a' b'a' b'vel'.,36
Children's stories,B'arcu' b'ac' b'ad' b'nam' b'a'.,32
College attendance,B'quam' b'in' b'a' b'enim' b'a' b'risus' b'a' b'sit' b'dui' b'a' b'velit' b'sollicitudin' b'urna'.,98
Aircraft accidents,B'ante' b'id'.,14
Emotional problems,B'nisi' b'ac' b'a' b'a' b'et' b'eu' b'mi' b'vel' b'nam' b'ac' b'a'.,67
Historical fiction,B'eros' b'id'.,14
"Novelists, English",B'eros' b'ac'.,14
City and town life,B'nisi' b'ad' b'a' b'a' b'praesent'.,36
Dominican Republic,B'quis' b'ad' b'ut' b'felis' b'a' b'per' b'a'.,46
Labrador retriever,B'urna' b'eu' b'a' b'in' b'a' b'a' b'natoque' b'a' b'lectus' b'bibendum' b'ad' b'litora' b'enim' b'hymenaeos' b'hac'.,117
Australian fiction,B'quis' b'ac' b'a' b'a' b'a' b'a' b'ac' b'hac'.,47
Games & Activities,B'odio' b'mi'.,14
Literary Criticism,B'duis' b'ac' b'at' b'mi' b'non'.,33
Cosmetics industry,B'eget' b'in' b'a' b'eget' b'a' b'tortor'.,42
Animal sanctuaries,B'arcu' b'at'.,14
Arthurian romances,B'duis' b'eu' b'a' b'a' b'a'.,29
Slave insurrections,B'amet' b'at'.,14
"Novelists, American",B'duis' b'id'.,14
Amazon River Region,B'diam' b'at' b'a' b'a' b'a'.,29
"Body, Mind & Spirit",B'urna' b'ad' b'a' b'mauris' b'libero' b'consectetuer' b'a' b'mi' b'cum' b've' b'semper' b'ad' b'a' b'a'.,105
Young Adult Fiction,B'eget' b'eu'.,14
Crime investigation,B'nibh' b'et' b'a' b'a' b'ligula' b'commodo' b'a' b'in' b'nisl'.,64
Art museum curators,B'quam' b'at' b'eu' b'a' b'eu' b'a' b'purus' b'mi' b'a' b'ut'.,62
American literature,B'amet' b'id' b'a' b'donec' b'est' b'a' b'a' b'ut'.,51
Juvenile Nonfiction,B'arcu' b'eu' b'et'.,20
Sports & Recreation,B'elit' b'id' b'et' b'a' b'a' b'hac' b'nunc' b'a' b'at'.,56
Trials (Witchcraft),B'enim' b'ut' b'a' b'at' b'a' b've' b'a' b'a' b'ad'.,52
Feature films [DVD],B'cras' b'id'.,14
"Theology, Doctrinal",B'eros' b'mi' b'in' b'a'.,25
Alzheimer's disease,B'amet' b'id' b'a' b'a'.,24
Brothers and sisters,B'quam' b'eu'.,14
"Fairy tales, English",B'enim' b'id' b'a' b'at' b'vivamus' b'a'.,41
Business & Economics,B'arcu' b've' b'a' b'cursus'.,29
Canterbury (England),B'nisi' b've' b'at' b'vel' b'per' b'luctus'.,44
Motion picture plays,B'urna' b'id' b'a' b'in' b'sed' b'a' b'a' b'a'.,47
Argentine literature,B'erat' b'ad' b'cubilia' b'a'.,30
Literary Collections,B'urna' b'eu' b'a' b'a' b'a' b'a' b'a' b'at' b'a' b'tellus' b'ut' b'a'.,71
Hallucinogenic drugs,B'orci' b'in'.,14
Experimental fiction,B'erat' b've' b'nonummy'.,25
"World War, 1914-1918",B'amet' b'et' b'eros' b'a' b'dolor' b'ante' b'vulputate' b'nam' b'et' b'diam' b've' b'a' b'mi'.,95
Actors and actresses,B'ante' b'mi' b'a' b'at'.,25
Crime investigations,B'enim' b'ut' b'mi' b'nisl' b'sem' b'a' b'proin' b'erat'.,57
Intelligence service,B'eget' b'et' b'a' b'metus'.,28
Political leadership,B'nisi' b'ut' b've' b'a'.,25
African American men,B'cras' b'ad'.,14
Business enterprises,B'quis' b'eu' b'feugiat' b'a' b'sollicitudin' b'duis' b'est' b'a' b'urna'.,74
Children of the rich,B'amet' b've' b'et'.,20
Los Angeles (Calif.),B'quis' b'ad' b'a' b'a' b'id' b'a' b'a'.,40
Computer programmers,B'eget' b'et' b'id' b'felis' b'platea' b'ipsum' b'a' b'eni' b'nostra'.,70
Confianza en sí mismo,B'orci' b'id' b'a' b'ad' b'a' b'sit' b'dolor'.,46
Greek drama (Tragedy),B'nisi' b'ac' b'a'.,19
Life on other planets,B'urna' b'id' b'a' b'nullam' b'per' b'libero' b'a' b'aptent' b'ut' b'a' b'sem' b'augue'.,88
Igbo (African people),B'nisl' b'ut' b'a' b'mi' b'sem' b'a' b'nam' b'at' b'potenti'.,61
Antislavery movements,B'erat' b'ut' b'a' b'a' b'a'.,29
"Animals, Treatment of",B'quam' b'id' b'a' b'pede' b'a' b'lacus' b'ut' b'et' b'id'.,59
Identity (Psychology),B'pede' b'eu'.,14
Mormon fundamentalism,B'erat' b'ut' b'a' b'per' b'a'.,31
Foreign Language Study,B'amet' b'ad' b'a' b'ac' b'a' b'ac' b'a' b'at' b'a'.,52
Canadian wit and humor,B'nunc' b'et' b'eu' b'non' b'aliquet' b'vitae' b'ad' b'a' b'fusce'.,67
"Persian Gulf War, 1991",B'arcu' b'id' b'a' b'a'.,24
Bosnia and Hercegovina,B'eros' b'eu' b'at' b'a' b'arcu' b'non' b'a' b'convallis' b'dolor'.,67
Aboriginal Australians,B'diam' b'at' b'in' b'sit' b'a' b'cum'.,39
Bosnia and Herzegovina,B'quam' b'et' b'a' b'a'.,24
American wit and humor,B'odio' b'in' b'ac' b'a' b'a' b'a' b'odio'.,43
Interplanetary voyages,B'urna' b'ad' b'id' b'enim' b'a' b'a' b'et' b'a'.,49
"Horror tales, American",B'pede' b'ad' b'ut' b'a' b'a'.,30
Language and languages,B'elit' b'id' b'a'.,19
Autonomy (Psychology).,B'nunc' b'ac' b'laoreet' b'suscipit'.,37
Family & Relationships,B'eros' b'ad' b'a' b'a' b'a' b'et' b'maecenas' b'a'.,52
"Short stories, English",B'nunc' b'at'.,14
Dysfunctional families,B'eros' b'at' b'a' b'habitant' b'eros' b'et' b'a' b'eget' b'et' b'iaculis'.,75
Human-alien encounters,B'elit' b've' b'a' b'a' b'orci' b'a' b'a' b'a'.,47
"Vietnam War, 1961-1975",B'nunc' b'in' b'mi'.,20
Cerebrovascular disease,B'quam' b'in' b'a' b'ipsum' b'proin' b'eu'.,43
Adjustment (Psychology),B'arcu' b'at' b'a' b'non' b'venenatis' b'nisl' b'ac' b'a'.,58
Benedictine monasteries,B'cras' b've' b'a' b'a' b'orci' b'ut' b'eu' b'a' b'a' b'diam' b'a' b'a' b'a' b'a' b'pede' b'a' b'elit'.,103
Antiques & Collectibles,B'nibh' b'et'.,14
Dating (Social customs),B'nisi' b'at' b'a' b'a' b'a' b'porta' b'in' b'a' b'lectus'.,59
Comics & Graphic Novels,B'erat' b'ac' b'ut' b'a' b'nostra' b'mattis' b'ad' b'eu' b'lacus'.,66
"Short stories, American",B'odio' b'mi' b'a'.,19
"Ghost stories, American",B'urna' b'mi' b'at'.,20
Repression (Psychology),B'elit' b'mi' b'a' b'blandit' b'ligula'.,40
Curiosities and wonders,B'cras' b'et' b'potenti' b'proin' b've' b'magnis' b'in' b'a'.,61
American Wit And Humour,B'amet' b'mi' b'et' b'a' b'a' b'ipsum' b'a' b'imperdiet' b'a'.,62
Man-woman relationships,B'cras' b'ad' b'posuere' b'a'.,30
Airplane crash survival,B'nibh' b'at' b'a'.,19
Sexual behavior surveys,B'erat' b've' b'at' b'netus' b'a' b'senectus' b'a' b'dui'.,58
Boarding school-fiction,B'urna' b'eu' b'a' b'hac' b'nullam'.,36
Indic fiction (English),B'eget' b'mi'.,14
Dangerously mentally ill,B'erat' b'in' b'ac' b'a'.,25
Galicia (Spain : Region),B'quam' b'id' b'a'.,19
"Comic books, strips, etc",B'duis' b'at' b'a' b'a'.,24
Drenai (Imaginary place),B'odio' b'ac' b'nonummy' b'a'.,30
Technology & Engineering,B'pede' b'at' b'a' b'dis'.,26
"Fantasy fiction, English",B'ante' b'at'.,14
Black humor (Literature),B'eget' b'mi' b'a' b'a' b'quis' b'at'.,38
Erinyes (Greek mythology),B'quam' b'at'.,14
Friendship in adolescence,B'diam' b'ad' b'a' b'montes' b'eu' b'risus'.,44
"Science fiction, English.",B'eget' b'at' b'a' b'a'.,24
Biography & Autobiography,B'pede' b've' b'a' b'et' b'ante' b'a' b'a'.,43
Communication in families,B'urna' b'ad' b'a' b'in'.,25
"Science fiction, American",B'ante' b'id' b'a' b'magna' b'torquent' b'a' b'a' b'ante' b'a' b'a' b'a' b'per'.,80
Essentialism (Philosophy),B'ante' b'in' b'diam' b'per' b'a' b'eni' b'a' b'nisl' b'a' b'dis'.,66
"Humorous stories, English",B'eget' b've' b'a' b'a' b'nec' b'a' b'lectus' b'a' b'a'.,56
Existential psychotherapy,B'arcu' b'mi'.,14
"Fantasy fiction, American",B'quam' b'id' b'a' b'a'.,24
Church work with the poor,B'elit' b'in'.,14
Archaeological expeditions,B'arcu' b'ut' b've' b'a' b'a' b'ipsum' b'id'.,45
"Banks and banking, British",B'erat' b'at' b'a' b'purus' b'urna' b'a' b'eget' b'a'.,54
"Napoleonic Wars, 1800-1815",B'quis' b'in' b'a'.,19
"Adventure stories, English",B'erat' b'in'.,14
Imaginary wars and battles,B'nisi' b'ut' b'at' b'nam' b'a' b'a' b'ad' b'sed'.,50
"Humorous stories, American",B'orci' b'ut' b'at' b'dis' b'mi' b'ac' b'a' b'a' b'tincidunt' b'rhoncus' b'a'.,78
Human-animal relationships,B'diam' b've'.,14
Alcestis (Greek mythology),B'nisl' b'et' b'mi' b'magnis'.,30
Cornwall (England : County),B'erat' b'ac' b'a' b'dui' b'a' b'risus'.,40
Otherland (Imaginary place),B'nisl' b'ut' b'a' b'a' b'hac' b'congue' b'curae' b'in' b'a' b'per' b'nulla'.,77
Language Arts & Disciplines,B'eget' b'eu' b'a' b'ac'.,25
Amour - Ouvrages avant 1800,B'eget' b'eu' b'a' b'mi'.,25
Psychoanalysis and religion,B'eget' b'et'.,14
"Nineteen ninety-eight, A.D.",B'erat' b'ac' b'a'.,19
"Adventure stories, American",B'nisi' b'et' b'a' b'a' b'a' b'tortor' b'a' b'a' b'a'.,54
"Children's poetry, American",B'nibh' b'ad' b'a' b'dis' b'dictum' b'duis' b'a' b'a'.,54
Adirondack Mountains (N.Y.),B'cras' b'id' b'orci' b'varius' b'a' b'a' b'non' b'enim' b'a' b'a'.,67
"Children's stories, English",B'arcu' b'ac' b'a' b'a' b'mus' b'a' b'a' b'a' b'et' b'erat' b'a' b'platea' b'sit'.,82
Discworld (Imaginary place),B'pede' b'id' b'a' b'et' b'a' b'a' b'nostra' b'aliquet' b'a' b'sit' b'cras' b'amet' b'leo' b'a' b'a' b'porttitor'.,114
Film producers and directors,B'orci' b'in' b'ac' b'a' b'cras' b'luctus' b'justo' b'a' b'a' b'at' b'id'.,74
Conan (Fictitious character),B'quis' b'mi' b'eu' b'donec' b'blandit' b'congue' b'in' b'id' b'odio' b'eros' b'a' b'natoque' b'libero'.,104
Children of divorced parents,B'erat' b've' b'a' b'leo' b'montes' b'primis' b'ut' b'a' b'id' b'tellus'.,73
Aeneas (Legendary character),B'enim' b'at' b'a'.,19
Detective and mystery stories,B'nibh' b'ac' b'erat' b'a' b'per' b'a'.,39
"Tobruk, Battles of, 1941-1942",B'urna' b'et' b'ad' b'vel' b'eni' b'ad' b'mi' b'hac' b'cum'.,60
Amyotrophic lateral sclerosis,B'arcu' b'id' b'a' b'non' b'nulla' b'congue' b'mi' b'a' b'a' b'a' b've'.,72
Psycho (Motion picture : 1960),B'ante' b'eu' b'a' b'a' b'a' b'ac'.,35
"Experimental fiction, American",B'quis' b'at'.,14
Alienation (Social psychology),B'diam' b'in' b'a' b'et'.,25
"Insane, Criminal and dangerous",B'elit' b'id' b'a' b'diam'.,27
"Nanjing (Jiangsu Sheng, China)",B'orci' b'in' b'a' b'a'.,24
Alternative histories (Fiction),B'urna' b'id' b'a' b'a'.,24
Children of Holocaust survivors,B'nisi' b'ac' b'a' b'cum' b'odio'.,34
People with social disabilities,B'urna' b'ad' b'a' b'senectus' b'a' b'a' b've' b'dis' b'a'.,59
87th Precinct (Imaginary place),B'ante' b've'.,14
Partition of decedents' estates,B'cras' b'eu' b'a' b'in' b'nam'.,32
"Holt, Max (Fictitious character)",B'nisl' b'ac' b'a' b'cum' b'a'.,31
Literary Criticism & Collections,B'cras' b'ut'.,14
"Everest, Mount (China and Nepal)",B'duis' b'mi' b'orci' b'mus' b'a' b'a' b'aptent' b'fermentum'.,62
"American wit and humor, Pictorial",B'erat' b'mi' b'eu' b'dui' b'imperdiet' b'erat' b'id' b'a' b'ligula' b'a' b'a'.,79
"Ryan, Jack (Fictitious character)",B'enim' b'at' b'id' b'a' b'a' b'a' b'a' b'nullam'.,50
"Bond, James (Fictitious character)",B'nibh' b'ut'.,14
African American plantation owners,B'eros' b'ad' b'a' b'pede' b'etiam' b'a' b'mi' b'massa' b'blandit' b'ligula'.,77
"Dallas, Eve (Fictitious character)",B'urna' b'id' b'ac' b'a' b'dui' b'in' b'a' b'vel' b'a'.,55
"Hyland, Morn (Fictitious character)",B'elit' b'ac' b'a' b'a' b've' b'enim' b'rutrum' b'ipsum' b'id' b'a'.,68
Cider house rules. (Motion picture),B'enim' b'id' b'a' b'tellus' b'a' b'a' b'a' b'dui'.,51
"Dent, Arthur (Fictitious character)",B'ante' b'at' b'et' b'a' b'euismod' b'varius'.,46
"Blake, Anita (Fictitious character)",B'eget' b'in' b'a' b'id' b'a' b'ac' b'urna' b'neque' b've' b'ultricies' b'ipsum' b'in'.,87
Chrestomanci (Fictitious character),B'orci' b'in' b'a' b'quis' b'a' b'proin' b'tempor' b'eu'.,57
Motion picture actors and actresses,B'enim' b'id' b'a' b'curae' b'a' b'porttitor'.,46
Castle Rock (Me. : Imaginary place),B'amet' b'ad' b'a' b'nec' b'nisl' b'a' b'a' b'a' b'a' b'primis' b'ut' b'eu' b'a'.,81
"Aubrey, Jack (Fictitious character)",B'ante' b'in' b'a' b'non' b'a' b'a' b'a' b'a' b've' b'leo' b'ut'.,65
"Marple, Jane (Fictitious character)",B'orci' b'ad' b'a' b'sem'.,26
"Bumppo, Natty (Fictitious character)",B'diam' b'id' b'a' b'et' b'nam' b'et' b'iaculis' b'a' b'dis' b'nec' b'mi'.,74
Minimal brain dysfunction in children,B'erat' b'ad' b'a' b'arcu' b'a' b'hendrerit' b'porta' b'eu' b'mi' b'a' b'a'.,76
"Baggins, Frodo (Fictitious character)",B'nisl' b've'.,14
"Little, Stuart (Fictitious character)",B'arcu' b'in' b'ut' b'a' b'in' b'per'.,38
"Dracula, Count (Fictitious character)",B'diam' b'in' b'a' b'pede' b'a' b'taciti' b'a' b'a' b'a' b'eu' b'a' b'platea'.,78
Death (Fictitious character : Gaiman),B'cras' b'in'.,14
Continental Op (Fictitious character),B'odio' b'ut' b've' b'quam' b'ac'.,34
"Baggins, Bilbo (Fictitious character)",B'orci' b'eu' b'a' b'sit' b'a' b'leo'.,38
"Conner, Rainie (Fictitious character)",B'nunc' b'id' b'quam' b'a'.,27
"Cabrillo, Juan (Fictitious character)",B'nisl' b'eu' b'a' b'mi' b'hac' b'ut' b'ad' b'a' b'a' b'id' b'a' b'est' b'eget'.,80
Alanna (Fictitious character : Pierce),B'cras' b'in' b'a' b'lacus' b'erat' b'a' b'a'.,46
Yoknapatawpha County (Imaginary place),B'nibh' b'ut' b'at'.,20
"Poirot, Hercule (Fictitious character)",B'enim' b'ac'.,14
"Detective and mystery stories, English",B'nisi' b've' b'a'.,19
African Americans in radio broadcasting,B'odio' b'in'.,14
"Beresford, Tommy (Fictitious character)",B'enim' b'ad' b'ut' b'nibh' b'per' b'a' b'hac'.,47
"Lecter, Hannibal (Fictitious character)",B'nisl' b'in' b'a' b'non' b'hac' b'a' b'a' b'amet' b'a'.,56
"Detective and mystery stories, American",B'duis' b'in'.,14
Auschwitz (Poland : Concentration camp),B'pede' b'ut'.,14
Babysitters Club (Imaginary organization),B'quam' b'id' b'a' b'et' b'a' b'sed' b'a' b'sit' b'a' b'natoque' b'ac' b'eros' b'ut'.,85
"Battle, Superintendent (Fictitious character)",B'odio' b'id' b'a' b'a' b'eu' b'a' b'a'.,40
"Detective and mystery comic books, strips, etc",B'arcu' b'ad' b'a' b'non' b'et' b'accumsan' b'a' b'a'.,54
Englisch - Geschichte - Lyrik - Aufsatzsammlung,B'pede' b'ac' b'a' b'ad' b'tellus' b'a' b'sollicitudin' b'nec' b'hac' b'a'.,75
Characters and characteristics in motion pictures,B'nibh' b'mi' b'a' b'augue'.,28
Estados Unidos - Relaciones exteriores - 1945-1989,B'quis' b'ac' b'ut' b'id' b'a' b'varius' b'fames' b'a' b'suscipit' b'a'.,72
